experiment,image_encoder,audio_encoder,K,alpha,scope,R@1,R@5,R@10,R@20,routes_correct,routes_total,knn_overlap,pearson_r,nmi,ami,ari,v_measure,homogeneity,completeness
unsup,dinov2-small,clap-larger,0,1.0,heldout_like_c,0.0,0.0,0.08,0.12,1,15,0.048,0.3754571974277496,0.7369783788565568,0.2470744824770971,0.1867469879518072,0.7369783788565569,0.678546209718493,0.8064224527951749
text,dinov2-small,clap-larger,0,,aggregate,0.0625,0.1675,0.2325,0.32,6,15,0.0315,0.2718507349491119,0.2465045626841432,0.155780435800325,0.0547816656194865,0.2465045626841432,0.2380307582211042,0.2556039666849203
text,dinov2-small,clap-larger,0,,heldout_like_c,0.0,0.16,0.24,0.28,3,15,0.016,0.3087954819202423,0.7569901059078311,0.2418289235232415,0.2396313364055299,0.7569901059078313,0.7132670844960695,0.8064235882340456
c-direct,dinov2-small,clap-unfused,300,0.5,aggregate,0.6425,0.7475,0.77,0.8075,12,15,0.0584999999999999,0.3368125557899475,0.2488743915432637,0.1590386502668955,0.0714628912413466,0.2488743915432638,0.2491919163654072,0.2485576748830256
c-direct,dinov2-small,clap-unfused,300,0.5,heldout,0.01,0.1,0.15,0.25,4,15,0.02,0.3559620380401611,0.3552588331071608,0.0319090435104734,0.0089225631184108,0.3552588331071608,0.3555284043776338,0.3549896703194495
d,dinov2-small,clap-unfused,0,0.7,aggregate,0.05,0.1675,0.2475,0.3525,6,15,0.0415,0.404097706079483,0.2502901464648707,0.160750772846535,0.0745171445443846,0.2502901464648707,0.2510128795667958,0.2495715632973239
d,dinov2-small,clap-unfused,0,0.7,heldout_like_c,0.0714285714285714,0.1428571428571428,0.2142857142857142,0.2857142857142857,5,15,0.0142857142857142,0.2176653891801834,0.7057685874953485,0.0444825333825553,0.0314960629921259,0.7057685874953485,0.6908293954775631,0.7213681810310191
unsup,dinov2-small,clap-unfused,0,1.0,aggregate,0.005,0.0225,0.04,0.1075,4,15,0.0989999999999999,0.6764442920684814,0.4316901418786095,0.363748415986818,0.1920098666905485,0.4316901418786096,0.4275303500891779,0.4359316770363137
unsup,dinov2-small,clap-unfused,0,1.0,heldout_like_c,0.0,0.0357142857142857,0.0357142857142857,0.1071428571428571,0,15,0.0714285714285714,0.3432688117027282,0.6518934960463025,0.0848944408586709,0.0442477876106194,0.6518934960463025,0.5938325749643625,0.7225383996232295
text,dinov2-small,clap-unfused,0,,aggregate,0.0625,0.1675,0.2325,0.32,5,15,0.0345,0.3132737576961517,0.2510307298061127,0.1595756660732982,0.0538729145341583,0.2510307298061127,0.2428783382566718,0.2597494114390125
