experiment,image_encoder,audio_encoder,K,alpha,scope,R@1,R@5,R@10,R@20,routes_correct,routes_total,knn_overlap,pearson_r,nmi,ami,ari,v_measure,homogeneity,completeness,cap_cos_argmax,cap_cos_planmass,cap_cos_chance,cap_cos_identity,cap_cos_lift
b,—,clap-unfused,300,0.5,aggregate,0.3275,0.515,0.635,0.7275,14,20,0.1105,0.5963510870933533,0.44589040352244724,0.33191238258706307,0.16284967988025126,0.44589040352244724,0.4410981798445201,0.4507878992346187,nan,nan,nan,nan,nan
b,—,clap-unfused,300,0.5,heldout,0.08,0.19,0.34,0.49,7,20,0.07600000000000001,0.5704059600830078,0.5619827435490714,0.1994123981522817,0.1122307197780548,0.5619827435490714,0.5534018633467706,0.5708339198938638,nan,nan,nan,nan,nan
b,—,mert-330m,300,0.5,aggregate,0.0875,0.22,0.2925,0.39,8,20,0.10899999999999999,0.5928901433944702,0.39193096966450314,0.2685626983579587,0.12098455335482868,0.39193096966450314,0.3876806879792935,0.39627547911103317,nan,nan,nan,nan,nan
b,—,mert-330m,300,0.5,heldout,0.01,0.05,0.08,0.2,3,20,0.062,0.4961691200733185,0.5076181967587657,0.18009385766992694,0.07926817844841198,0.5076181967587657,0.4782911812372396,0.5407765819310466,nan,nan,nan,nan,nan
b,—,mert-95m,300,0.5,aggregate,0.18,0.3275,0.43,0.515,9,20,0.0765,0.5658867955207825,0.32446038430490187,0.20091227830164476,0.08112905550194595,0.32446038430490187,0.3332130399199154,0.31615577936465084,nan,nan,nan,nan,nan
b,—,mert-95m,300,0.5,heldout,0.02,0.08,0.2,0.24,3,20,0.06,0.511527419090271,0.5107653357818047,0.13711211642776067,0.06950092501936045,0.5107653357818046,0.50514989276926,0.5165070291470227,nan,nan,nan,nan,nan
c-direct,clip-base,clap-fused,300,0.5,aggregate,0.6425,0.755,0.8,0.8325,10,15,0.064,0.3667047321796417,0.31189810742354224,0.23466893334854033,0.10197417814805775,0.31189810742354224,0.32377639438475675,0.3008605279451918,0.3650656884922996,0.3525785386662156,0.21744189226661895,0.38759736589986515,0.14762379622568064
c-direct,clip-base,clap-fused,300,0.5,heldout,0.08,0.17,0.28,0.38,5,15,0.027999999999999997,0.27498671412467957,0.42826616186667144,0.12417817542336859,0.07005889270303595,0.42826616186667144,0.43045942586155983,0.42609513467772026,0.3103882450057203,0.30054982792248586,0.20745899699861403,0.603754092596457,0.10292924800710629
c-transitive,clip-base,clap-fused,300,0.7,aggregate,0.04,0.115,0.1725,0.28,5,15,0.037000000000000005,0.4573904871940613,0.33969286476208366,0.26498713109964067,0.16961793248631762,0.33969286476208366,0.3276213601256749,0.35268797130577834,0.5235624372665038,0.4122612251114224,0.21744189226661895,0.38759736589986515,0.30612054499988484
c-transitive,clip-base,clap-fused,300,0.7,heldout_like_c,0.0,0.0,0.0,0.0,1,15,0.008695652173913044,0.48153331875801086,0.6693079700902457,0.0915923546212531,0.04206983592763988,0.6693079700902457,0.5649506553979631,0.8209540671739484,0.4412849289082584,0.3471099784858692,0.1843226838319145,0.5509992236268333,0.2569622450763439
