K,alpha,scope,R@1,R@5,R@10,R@20,routes_correct,routes_total,knn_overlap,pearson_r,nmi,ami,ari,v_measure,homogeneity,completeness,cap_cos_argmax,cap_cos_planmass,cap_cos_chance,cap_cos_identity,cap_cos_lift
20,0.9,heldout,0.002631578947368421,0.031578947368421054,0.042105263157894736,0.10526315789473684,2,15,0.12052631578947368,0.6659436225891113,0.38653413752996296,0.30966301811221336,0.16926451009934032,0.386534137529963,0.3814750392441947,0.39172922620657336,0.2513414263174814,0.23990841515633865,0.21630878324531522,0.6210802240973075,0.03503264307216619
50,0.0,aggregate,0.0825,0.1375,0.18,0.225,7,15,0.0475,0.39090240001678467,0.29018695390397026,0.20465105264300323,0.07922277458957658,0.29018695390397026,0.2962940985154795,0.2843264829828217,0.2857593190504262,0.2511658126305461,0.21744189226661895,0.38759736589986515,0.06831742678380723
50,0.0,heldout,0.008571428571428572,0.04,0.08,0.12571428571428572,6,15,0.048,0.40806618332862854,0.31085449733182635,0.21591796535326208,0.09518235911722078,0.3108544973318263,0.32036929136472675,0.3018885706708053,0.2667256288219941,0.24120304567866957,0.21339690667999445,0.6159630643181138,0.05332872214199963
50,0.3,aggregate,0.095,0.135,0.1625,0.2125,6,15,0.06949999999999999,0.5302017331123352,0.3174515530337217,0.23523143342895167,0.09653379922284809,0.31745155303372163,0.32372630074761544,0.31141542552456103,0.28573561592183894,0.2496130104149041,0.21744189226661895,0.38759736589986515,0.06829372365521999
50,0.3,heldout,0.014285714285714285,0.04285714285714286,0.06571428571428571,0.11428571428571428,7,15,0.07257142857142856,0.5465514063835144,0.33691293945969136,0.2455914400075746,0.10017838169573574,0.33691293945969136,0.34707688918794,0.32732734395539864,0.2664205692799914,0.2403927207162895,0.21339690667999445,0.6159630643181138,0.05302366259999697
50,0.5,aggregate,0.08,0.115,0.15,0.19,5,15,0.07949999999999999,0.5891969799995422,0.3356499666392234,0.255597269781476,0.1182301666995612,0.3356499666392234,0.34213156482425205,0.3294093869783924,0.2769126945951722,0.24788751607685675,0.21744189226661895,0.38759736589986515,0.05947080232855326
50,0.5,heldout,0.02,0.037142857142857144,0.06,0.10571428571428572,7,15,0.08171428571428571,0.5970150232315063,0.3486494317982474,0.25892331878372465,0.11306366240573162,0.3486494317982474,0.35957679583652263,0.3383666342601991,0.26041128510624756,0.23912797795901872,0.21339690667999445,0.6159630643181138,0.04701437842625311
50,0.7,aggregate,0.0575,0.09,0.1275,0.1825,5,15,0.09300000000000001,0.6361575126647949,0.35661037906065285,0.2790452025532325,0.1330124699864828,0.3566103790606528,0.3632885919685878,0.3501732609053056,0.28039115800819375,0.24553639060262555,0.21744189226661895,0.38759736589986515,0.0629492657415748
50,0.7,heldout,0.014285714285714285,0.04,0.06285714285714286,0.11142857142857143,7,15,0.09542857142857142,0.6342630982398987,0.3754852999421473,0.28943245337220996,0.13467996552261377,0.3754852999421473,0.38756997001787685,0.3641314571166908,0.2665044048675866,0.2372764123573511,0.21339690667999445,0.6159630643181138,0.05310749818759214
50,0.9,aggregate,0.03,0.055,0.0825,0.1275,5,15,0.1125,0.665182888507843,0.40788948226052557,0.33721828207945925,0.16375565705149456,0.4078894822605256,0.4118169581302132,0.404036210952321,0.26912943730455696,0.24177889540238712,0.21744189226661895,0.38759736589986515,0.051687545037938015
50,0.9,heldout,0.008571428571428572,0.03428571428571429,0.05714285714285714,0.09714285714285714,6,15,0.10742857142857143,0.6607158184051514,0.3848316819794662,0.30106978600526946,0.1445998197351868,0.38483168197946616,0.3933994135381885,0.37662918437062115,0.2579992449118322,0.2342508900977495,0.21339690667999445,0.6159630643181138,0.044602338231837735
100,0.0,aggregate,0.2075,0.235,0.2725,0.3275,5,15,0.0385,0.32353633642196655,0.2628080167116836,0.17397283882033168,0.0682889708849313,0.2628080167116836,0.2679522859724288,0.25785755074665884,0.2963734312379589,0.2563422137968463,0.21744189226661895,0.38759736589986515,0.07893153897133995
100,0.0,heldout,0.013333333333333334,0.023333333333333334,0.05,0.11666666666666667,5,15,0.04066666666666667,0.34593790769577026,0.256891704358084,0.1350272939028557,0.062159191909384376,0.256891704358084,0.2643471093286197,0.2498452953338736,0.2583029801827734,0.23731387335068183,0.20854878625112686,0.6061970043800218,0.04975419393164657
100,0.3,aggregate,0.1825,0.2275,0.265,0.325,7,15,0.04650000000000001,0.44567981362342834,0.2818727514725118,0.1952656191867322,0.07884418738149784,0.28187275147251184,0.28819747059416384,0.2758196728137151,0.29322166566880214,0.2531055570451691,0.21744189226661895,0.38759736589986515,0.0757797734021832
