method,K,alpha,scope,median,mean,p25,p75,p90,min,max,pct_rank_eq_1,pct_rank_le_10
FGW transitive (identity bridge),160,0.3,aggregate,25.0,61.33,6.0,88.25,187.30000000000007,1,361,0.135,0.3325
FGW transitive (identity bridge),160,0.3,heldout_like_c,71.0,98.23333333333333,20.5,107.0,256.80000000000007,3,344,0.0,0.06666666666666667
FGW transitive (identity bridge),160,0.5,aggregate,27.0,61.46,7.0,92.25,175.20000000000005,1,353,0.1275,0.305
FGW transitive (identity bridge),160,0.5,heldout_like_c,64.0,103.36666666666666,18.75,137.75,293.2,4,335,0.0,0.1
FGW transitive (identity bridge),160,0.7,aggregate,36.0,66.18,7.75,94.25,190.10000000000002,1,355,0.1,0.2975
FGW transitive (identity bridge),160,0.7,heldout_like_c,66.0,98.56666666666666,21.5,141.75,266.70000000000005,5,326,0.0,0.16666666666666666
FGW transitive (identity bridge),160,0.9,aggregate,54.0,87.135,18.0,131.0,229.30000000000007,1,399,0.03,0.16
FGW transitive (identity bridge),160,0.9,heldout_like_c,82.0,102.83333333333333,23.5,152.0,231.30000000000004,6,273,0.0,0.1
FGW transitive (identity bridge),200,0.0,aggregate,14.0,53.425,2.0,74.25,172.4000000000001,1,328,0.195,0.44
FGW transitive (identity bridge),200,0.0,heldout_like_c,57.5,86.03333333333333,24.5,107.75,256.20000000000005,1,298,0.03333333333333333,0.13333333333333333
FGW transitive (identity bridge),200,0.3,aggregate,16.0,52.405,3.0,74.0,164.30000000000007,1,314,0.1825,0.41
FGW transitive (identity bridge),200,0.3,heldout_like_c,54.0,88.03333333333333,19.25,108.5,248.70000000000005,1,312,0.03333333333333333,0.13333333333333333
FGW transitive (identity bridge),200,0.5,aggregate,19.5,52.72,3.0,73.0,170.30000000000007,1,322,0.1625,0.4075
FGW transitive (identity bridge),200,0.5,heldout_like_c,56.5,89.53333333333333,15.0,119.75,239.50000000000006,3,322,0.0,0.13333333333333333
FGW transitive (identity bridge),200,0.7,aggregate,25.0,58.04,4.0,90.0,165.00000000000023,1,332,0.125,0.36
FGW transitive (identity bridge),200,0.7,heldout_like_c,43.5,88.4,14.25,130.5,207.1000000000001,1,332,0.03333333333333333,0.2
FGW transitive (identity bridge),200,0.9,aggregate,48.0,81.455,16.0,122.5,210.5000000000001,1,361,0.0575,0.1925
FGW transitive (identity bridge),200,0.9,heldout_like_c,56.0,91.66666666666667,24.25,160.75,226.5,1,254,0.03333333333333333,0.13333333333333333
FGW transitive (identity bridge),300,0.0,aggregate,4.0,31.8025,1.0,33.0,103.10000000000002,1,342,0.3025,0.6
FGW transitive (identity bridge),300,0.0,heldout_like_c,41.0,74.76666666666667,13.75,118.5,215.10000000000002,1,342,0.06666666666666667,0.2
FGW transitive (identity bridge),300,0.3,aggregate,5.0,32.39,1.0,36.25,104.10000000000002,1,346,0.2825,0.585
FGW transitive (identity bridge),300,0.3,heldout_like_c,41.5,74.43333333333334,14.5,104.0,219.20000000000002,1,346,0.06666666666666667,0.2
FGW transitive (identity bridge),300,0.5,aggregate,7.5,33.68,1.0,39.25,102.20000000000005,1,349,0.2625,0.5625
FGW transitive (identity bridge),300,0.5,heldout_like_c,34.0,74.06666666666666,10.75,133.5,220.2,1,349,0.06666666666666667,0.26666666666666666
FGW transitive (identity bridge),300,0.7,aggregate,12.0,40.76,2.0,50.0,132.10000000000002,1,349,0.2025,0.4775
FGW transitive (identity bridge),300,0.7,heldout_like_c,31.0,75.26666666666667,12.0,142.25,204.20000000000002,1,349,0.03333333333333333,0.23333333333333334
FGW transitive (identity bridge),300,0.9,aggregate,32.5,66.875,9.0,101.0,188.60000000000014,1,378,0.0825,0.285
FGW transitive (identity bridge),300,0.9,heldout_like_c,58.5,93.56666666666666,20.25,135.0,238.60000000000002,2,310,0.0,0.16666666666666666
Text baseline (raw caption cosine),0,nan,aggregate,61.0,95.605,12.0,150.25,260.1,1,392,0.0625,0.2325
Text baseline (raw caption cosine),0,nan,heldout_like_c,38.0,93.16666666666667,6.75,164.0,250.30000000000004,1,316,0.1,0.3
